name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
raipur chhattisgarh,2025-08-15T17:00:00,31.1,36.2,23.7,64.81,0.8,90.3,rain,0,0,13,11.5,88.8,997,69.1,24.1,414,1.5,4,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T18:00:00,30.7,36.2,24.2,68.33,0.3,90.3,rain,0,0,13,9,99.1,997,46.9,22.9,247,0.9,2,60,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T19:00:00,29.4,34.5,24.4,74.52,0.4,96.8,rain,0,0,13,8.3,126.1,998,40.6,14.2,60,0.2,0,60,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T20:00:00,28.6,33.2,24.4,78.06,0.3,96.8,rain,0,0,15.5,9.4,126.2,999,34.6,14.3,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T21:00:00,28,31.9,24.1,79.39,0.9,96.8,rain,0,0,16.6,10.1,123.7,999,50.4,22.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T22:00:00,27.8,31.3,23.8,78.89,1.5,96.8,rain,0,0,18,11.2,156,1000,98.5,23.5,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-15T23:00:00,27.2,30.3,23.9,82.2,1.1,96.8,rain,0,0,16.9,10.1,211.4,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T00:00:00,26.4,26.4,24.1,87.2,0.4,96.8,rain,0,0,21.2,12.6,236.7,1000,98.1,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T01:00:00,25.8,25.8,24.1,90.35,0.8,77.4,rain,0,0,19.8,10.8,227.6,999,99.4,4.9,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T02:00:00,25.8,25.8,24.1,90.35,0.2,77.4,rain,0,0,18.7,11.2,215.7,999,87.5,13.3,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T03:00:00,25.4,25.4,24,91.97,0.5,77.4,rain,0,0,21.6,13,212.7,999,81.1,24.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T04:00:00,25.1,25.1,24,93.63,1,77.4,rain,0,0,19.8,12.2,220.9,999,22.8,24.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T05:00:00,25,25,24,94.19,0,77.4,rain,0,0,15.8,9.4,219,999,26.4,24.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T06:00:00,24.9,24.9,24,94.75,0,77.4,rain,0,0,12.6,7.9,213.8,999,53.7,24.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T07:00:00,25.2,25.2,24,93.07,0,77.4,rain,0,0,10.8,9,211.7,1000,38.8,24.1,29,0.1,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T08:00:00,26.3,26.3,24.1,87.72,0,77.4,rain,0,0,6.1,8.3,216.3,1000,56.1,24.1,209,0.8,2,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T09:00:00,27.2,30.5,24.2,83.69,0,77.4,rain,0,0,6.5,7.9,194.2,1001,75.4,24.1,375,1.3,4,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T10:00:00,28.1,32.1,24.1,78.93,0.3,77.4,rain,0,0,8.3,9,189.4,1001,73.3,24.1,452,1.6,5,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T11:00:00,29.4,34.2,24.1,73.19,0.4,77.4,rain,0,0,7.9,8.3,188.5,1000,48.2,24.1,684,2.5,7,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T12:00:00,30.7,36,24,67.52,0.7,77.4,rain,0,0,6.1,6.1,174.8,999,46.6,12.9,871,3.1,9,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T13:00:00,31.9,37.7,24,63.06,1.1,93.5,rain,0,0,4,4,134.6,998,99.7,21.8,939,3.4,9,60,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T14:00:00,31.6,36.9,23.7,63,2,93.5,rain,0,0,6.1,6.5,123.6,997,99.5,15.1,832,3,8,60,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T15:00:00,31.9,37.3,23.7,61.93,1.7,93.5,rain,0,0,6.8,7.6,144.7,997,89.1,24.1,703,2.5,7,60,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T16:00:00,32,37.4,23.7,61.58,0.5,93.5,rain,0,0,5.8,6.8,161,996,31.7,21.8,615,2.2,6,60,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-16T17:00:00,31.9,37.3,23.7,61.93,0.9,93.5,rain,0,0,5.4,6.8,187.6,996,92.2,24.1,470,1.7,5,60,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T18:00:00,30.8,36.5,24.3,68.35,1.7,93.5,rain,0,0,10.8,11.9,200.2,997,100,13.1,253,0.9,3,60,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T19:00:00,28.6,33.2,24.5,78.53,2.6,80.6,rain,0,0,17.3,11.9,209.9,997,100,10.7,38,0.1,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T20:00:00,27.1,30.3,24.3,84.69,4,80.6,rain,0,0,25.2,16.6,193.8,999,100,5.6,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T21:00:00,26.5,26.5,24.5,88.79,2.6,80.6,rain,0,0,27.4,18.4,218.8,1000,100,5.3,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T22:00:00,26.4,26.4,24.5,89.32,0.7,80.6,rain,0,0,27.7,16.9,241.2,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-16T23:00:00,26.1,26.1,24.5,90.92,0,80.6,rain,0,0,27.7,15.1,246.9,1001,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T00:00:00,25.9,25.9,24.4,91.45,0.5,80.6,rain,0,0,27,14,234.4,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T01:00:00,25.8,25.8,24.4,91.99,0.7,54.8,rain,0,0,25.6,14.4,229.6,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
